Pressure,T,SiO2,TiO2,Al2O3,FeO,MgO,CaO,NiO,Na2O,K2O,H2O,Fe,Ni+Cu+Co,S,O,SCSS measurement
1.5,2073.15,43.57818182,0.026590909,8.994336364,10.45214545,19.77569091,16.40474545,0,0.077063636,0,0,64.63442222,0.143711111,33.77191111,2.045655556,4733.909091
5.5,2073.15,49.72322222,0.774772222,13.40381111,7.506855556,11.16076667,12.62845556,0,2.068827778,0,0,62.28943333,0.658777778,35.32667778,0.563166667,2112.944444
5.5,2073.15,47.298445,0.02571,9.5982,3.37385,19.967335,18.154325,0,0.032445,0,0,62.67971,0.17774,36.08527,0.24532,4408.8
5.5,2073.15,47.18014211,0.010026316,10.15383684,2.1139,21.99212105,17.75776842,0,0.026468421,0,0,62.90804,0.13143,36.01864,0.02827,8792.947368
5.5,2073.15,43.70452143,0.025071429,9.587742857,8.455242857,20.33389286,16.35819286,0,0.036178571,0,0,64.70685,0.22717,33.27847,1.23622,4200.785714
5.5,2073.15,42.84361667,0.015861111,9.082,11.31163333,19.3927,15.93047778,0,0.034283333,0,0,64.83636667,0.222011111,32.76987778,1.737833333,2760.944444
1.5,2073.15,47.878,0.023706667,10.0844,0.902646667,20.62136667,18.25358,0,0.0764,0,0,6.116678571,63.74052857,28.63792143,0.051764286,1380.466667
1.5,2073.15,45.08416,0.009966667,9.95278,6.5131,19.33997333,17.17265333,0,0.067233333,0,0,3.590975,74.287815,20.91687,0,693.6
1.5,2073.15,47.76089286,0.02905,10.83210714,0.891035714,20.38950714,18.20128571,0,0.065578571,0,0,4.712155263,68.71545526,24.79394737,0.002663158,968.7142857
7,2073.15,45.77137333,0.02112,3.633066667,24.1575,9.8987,10.27888667,0,1.264726667,0,0,63.12251333,0.66258,33.93663333,2.118306667,4557.466667
24,2433.15,51.94495556,0.207922222,4.112633333,7.698333333,32.2118,1.292555556,0,0.050911111,0,0,63.79489333,0.729086667,32.64772,2.46002,514.2222222
1.5,1873,40.74413333,0,14.29613333,13.50831667,14.65557778,14.95207222,0,0.118572222,0,0,27.23456667,45.0909875,27.95158333,1.0421875,1455
1.5,1873,42.746715,0,15.04516,8.118385,15.779745,16.124615,0,0.105855,0,0,26.35761364,45.64427273,28.7762,0.63285,1264
1.5,1873,34.21938261,0,11.66343913,20.58861304,15.30026522,14.14922174,0,0.125256522,0,0,39.55625556,31.69508889,26.71685,3.398477778,3568
0.0001,1673.15,63.2,0,13.3,9.8,4,9.4,0,0,0,0,63.53,0,36.47,0,1425
0.0001,1673.15,63.7,0,13.6,9.7,4.1,9.4,0,0,0,0,63.53,0,36.47,0,1345
0.0001,1673.15,63.2,0,13.4,9.6,4,9.4,0,0,0,0,63.53,0,36.47,0,1521
0.0001,1673.15,63.7,0,13.4,8.8,4,9.5,0,0,0,0,63.53,0,36.47,0,1262
0.0001,1673.15,66.5,0,14.2,4.2,4.2,10.1,0,0,0,0,63.53,0,36.47,0,921
0.0001,1673.15,67.7,0,15,1.86,4.6,10.1,0,0,0,0,63.53,0,36.47,0,960
